DV1	V1	P1	0.0	3000.0	2.0	6000.0
DV2	V1	P2	0.0	200.0	1.0	200.0
DV3	V2	P1	0.0	3000.0	2.0	6000.0
DV4	V2	P2	0.0	200.0	1.0	200.0
DV5	V2	P2	0.0	200.0	1.0	200.0
DV6	V3	P2	0.0	200.0	1.0	200.0
DV7	V3	P1	0.0	3000.0	2.0	6000.0
DV8	V4	P1	0.0	3000.0	2.0	6000.0
DV9	V4	P2	0.0	200.0	1.0	200.0
DV10	V5	P2	0.0	200.0	1.0	200.0
DV11	V6	P2	0.0	200.0	2.0	400.0
DV12	V6	P1	0.0	3000.0	1.0	3000.0
DV13	V6	P2	0.0	200.0	1.0	200.0
DV14	V7	P1	0.0	3000.0	1.0	3000.0
DV15	V8	P1	0.0	369.0	2.0	738.0
DV16	V2	P6	0.0	112.0	4.0	448.0
DV17	V3	P7	0.0	168.0	7.0	1176.0
